episode,steps,return,average_reward_per_step
520,31,-19,-0.6129032258064516
521,15,6,0.4
522,15,6,0.4
523,37,-34,-0.918918918918919
524,15,-3,-0.2
525,15,-3,-0.2
526,12,9,0.75
527,35,-14,-0.4
528,13,-10,-0.7692307692307693
529,15,6,0.4
530,10,2,0.2
531,25,-4,-0.16
532,12,9,0.75
533,10,11,1.1
534,19,2,0.10526315789473684
535,37,-34,-0.918918918918919
536,22,-10,-0.45454545454545453
537,13,8,0.6153846153846154
538,58,-55,-0.9482758620689655
539,20,-8,-0.4
540,21,-9,-0.42857142857142855
541,28,-16,-0.5714285714285714
542,50,-38,-0.76
543,20,-17,-0.85
544,90,-78,-0.8666666666666667
545,13,8,0.6153846153846154
546,27,-15,-0.5555555555555556
547,20,1,0.05
548,15,-3,-0.2
549,24,-3,-0.125
550,18,-6,-0.3333333333333333
551,14,7,0.5
552,31,-37,-1.1935483870967742
553,10,11,1.1
554,13,8,0.6153846153846154
555,12,9,0.75
556,14,-2,-0.14285714285714285
557,32,-20,-0.625
558,21,-9,-0.42857142857142855
559,35,-14,-0.4
560,36,-42,-1.1666666666666667
561,36,-33,-0.9166666666666666
562,11,10,0.9090909090909091
563,28,-16,-0.5714285714285714
564,20,-8,-0.4
565,10,11,1.1
566,13,-1,-0.07692307692307693
567,15,-3,-0.2
568,15,-3,-0.2
569,16,5,0.3125
570,20,1,0.05
571,24,-12,-0.5
572,15,6,0.4
573,25,-13,-0.52
574,16,5,0.3125
575,9,12,1.3333333333333333
576,76,-73,-0.9605263157894737
577,11,10,0.9090909090909091
578,18,-6,-0.3333333333333333
579,40,-28,-0.7
580,15,6,0.4
581,12,9,0.75
582,14,-2,-0.14285714285714285
583,17,4,0.23529411764705882
584,11,10,0.9090909090909091
585,15,6,0.4
586,27,-6,-0.2222222222222222
587,15,6,0.4
588,7,5,0.7142857142857143
589,16,-4,-0.25
590,12,9,0.75
591,17,4,0.23529411764705882
592,9,12,1.3333333333333333
593,24,-12,-0.5
594,11,1,0.09090909090909091
595,21,-9,-0.42857142857142855
596,9,12,1.3333333333333333
597,7,14,2.0
598,14,7,0.5
599,22,-1,-0.045454545454545456
600,32,-29,-0.90625
601,39,-18,-0.46153846153846156
602,16,5,0.3125
603,11,10,0.9090909090909091
604,17,4,0.23529411764705882
605,20,-8,-0.4
606,10,11,1.1
607,11,1,0.09090909090909091
608,44,-32,-0.7272727272727273
609,46,-34,-0.7391304347826086
610,14,7,0.5
611,15,-3,-0.2
612,12,9,0.75
613,16,-22,-1.375
614,16,5,0.3125
615,18,-6,-0.3333333333333333
616,22,-10,-0.45454545454545453
617,41,-65,-1.5853658536585367
618,12,9,0.75
619,23,-11,-0.4782608695652174
620,11,10,0.9090909090909091
621,28,-16,-0.5714285714285714
622,12,9,0.75
623,8,13,1.625
624,16,5,0.3125
625,12,0,0.0
626,23,-20,-0.8695652173913043
627,17,-5,-0.29411764705882354
628,17,-5,-0.29411764705882354
629,15,6,0.4
630,15,6,0.4
631,16,5,0.3125
632,12,9,0.75
633,18,3,0.16666666666666666
634,12,9,0.75
635,14,7,0.5
636,32,-29,-0.90625
637,23,-11,-0.4782608695652174
638,14,-2,-0.14285714285714285
639,25,-4,-0.16
640,12,9,0.75
641,11,10,0.9090909090909091
642,66,-63,-0.9545454545454546
643,19,2,0.10526315789473684
644,22,-1,-0.045454545454545456
645,15,6,0.4
646,15,-3,-0.2
647,9,3,0.3333333333333333
648,15,6,0.4
649,12,9,0.75
650,14,-2,-0.14285714285714285
651,27,-15,-0.5555555555555556
652,17,4,0.23529411764705882
653,54,-60,-1.1111111111111112
654,11,10,0.9090909090909091
655,15,6,0.4
656,17,-5,-0.29411764705882354
657,15,6,0.4
658,12,9,0.75
659,18,3,0.16666666666666666
660,35,-32,-0.9142857142857143
661,20,1,0.05
662,17,-5,-0.29411764705882354
663,30,-36,-1.2
664,25,-22,-0.88
665,13,-1,-0.07692307692307693
666,13,8,0.6153846153846154
667,13,-1,-0.07692307692307693
668,11,10,0.9090909090909091
669,14,7,0.5
670,11,10,0.9090909090909091
671,20,-17,-0.85
672,11,1,0.09090909090909091
673,10,11,1.1
674,12,9,0.75
675,19,-7,-0.3684210526315789
676,15,6,0.4
677,14,7,0.5
678,18,-6,-0.3333333333333333
679,27,-33,-1.2222222222222223
680,14,-11,-0.7857142857142857
681,22,-1,-0.045454545454545456
682,12,9,0.75
683,22,-19,-0.8636363636363636
684,15,6,0.4
685,19,-16,-0.8421052631578947
686,16,-4,-0.25
687,10,11,1.1
688,53,-68,-1.2830188679245282
689,15,6,0.4
690,28,-16,-0.5714285714285714
691,10,11,1.1
692,18,3,0.16666666666666666
693,14,7,0.5
694,18,-6,-0.3333333333333333
695,16,5,0.3125
696,17,-5,-0.29411764705882354
697,25,-4,-0.16
698,17,-5,-0.29411764705882354
699,39,-36,-0.9230769230769231
700,10,11,1.1
701,15,6,0.4
