episode,steps,return,average_reward_per_step
125,102,-162,-1.588235294117647
126,84,-126,-1.5
127,133,-229,-1.7218045112781954
128,192,-288,-1.5
129,153,-276,-1.803921568627451
130,187,-355,-1.8983957219251337
131,352,-655,-1.8607954545454546
132,147,-243,-1.653061224489796
133,184,-343,-1.8641304347826086
134,290,-449,-1.5482758620689656
135,237,-351,-1.481012658227848
136,260,-509,-1.9576923076923076
137,184,-316,-1.7173913043478262
138,12,9,0.75
139,228,-432,-1.894736842105263
140,107,-167,-1.560747663551402
141,257,-407,-1.583657587548638
142,169,-229,-1.3550295857988166
143,59,-83,-1.4067796610169492
144,88,-166,-1.8863636363636365
145,263,-548,-2.0836501901140685
146,138,-189,-1.3695652173913044
147,193,-433,-2.243523316062176
148,269,-500,-1.858736059479554
149,194,-362,-1.865979381443299
150,8,13,1.625
151,79,-112,-1.4177215189873418
152,154,-331,-2.1493506493506493
153,193,-307,-1.5906735751295338
154,150,-264,-1.76
155,107,-185,-1.7289719626168225
156,165,-207,-1.2545454545454546
157,151,-247,-1.6357615894039734
158,97,-166,-1.711340206185567
159,131,-236,-1.8015267175572518
160,110,-197,-1.790909090909091
161,229,-388,-1.6943231441048034
162,236,-413,-1.75
163,61,-76,-1.2459016393442623
164,114,-183,-1.605263157894737
165,226,-385,-1.7035398230088497
166,100,-169,-1.69
167,238,-424,-1.781512605042017
168,210,-306,-1.457142857142857
169,211,-370,-1.7535545023696681
170,211,-370,-1.7535545023696681
171,278,-536,-1.9280575539568345
172,31,-37,-1.1935483870967742
173,24,-3,-0.125
174,181,-313,-1.729281767955801
175,198,-330,-1.6666666666666667
176,218,-377,-1.7293577981651376
177,109,-142,-1.3027522935779816
178,171,-330,-1.9298245614035088
179,150,-246,-1.64
180,44,-50,-1.1363636363636365
181,186,-354,-1.903225806451613
182,239,-434,-1.8158995815899581
183,282,-495,-1.7553191489361701
184,156,-270,-1.7307692307692308
185,242,-392,-1.6198347107438016
186,67,-91,-1.3582089552238805
187,179,-356,-1.988826815642458
188,360,-636,-1.7666666666666666
189,171,-348,-2.0350877192982457
190,76,-154,-2.026315789473684
191,33,-30,-0.9090909090909091
192,318,-612,-1.9245283018867925
193,22,-1,-0.045454545454545456
194,20,-8,-0.4
195,129,-198,-1.5348837209302326
196,50,-65,-1.3
197,102,-216,-2.1176470588235294
198,151,-301,-1.9933774834437086
199,171,-267,-1.5614035087719298
200,93,-117,-1.2580645161290323
201,37,-52,-1.4054054054054055
202,27,-24,-0.8888888888888888
203,52,-40,-0.7692307692307693
204,151,-211,-1.3973509933774835
205,138,-198,-1.434782608695652
206,67,-91,-1.3582089552238805
207,167,-290,-1.7365269461077844
208,38,-44,-1.1578947368421053
209,15,6,0.4
210,147,-306,-2.0816326530612246
211,117,-141,-1.205128205128205
212,171,-276,-1.6140350877192982
213,144,-267,-1.8541666666666667
214,120,-252,-2.1
215,173,-269,-1.5549132947976878
216,11,1,0.09090909090909091
217,13,-10,-0.7692307692307693
218,103,-154,-1.4951456310679612
219,55,-52,-0.9454545454545454
220,228,-432,-1.894736842105263
221,137,-215,-1.5693430656934306
222,144,-231,-1.6041666666666667
223,47,-53,-1.127659574468085
224,32,-38,-1.1875
225,214,-409,-1.911214953271028
226,79,-139,-1.759493670886076
227,191,-287,-1.5026178010471205
228,101,-197,-1.9504950495049505
229,270,-483,-1.788888888888889
230,250,-508,-2.032
231,72,-114,-1.5833333333333333
232,94,-145,-1.5425531914893618
233,11,10,0.9090909090909091
234,161,-320,-1.9875776397515528
235,84,-144,-1.7142857142857142
236,104,-128,-1.2307692307692308
237,126,-159,-1.2619047619047619
238,105,-165,-1.5714285714285714
239,77,-128,-1.6623376623376624
240,114,-183,-1.605263157894737
241,26,-14,-0.5384615384615384
242,57,-81,-1.4210526315789473
243,52,-103,-1.9807692307692308
244,26,-5,-0.19230769230769232
245,15,-21,-1.4
246,94,-172,-1.8297872340425532
247,20,-17,-0.85
248,48,-63,-1.3125
249,37,-43,-1.162162162162162
250,22,-19,-0.8636363636363636
251,52,-49,-0.9423076923076923
252,30,-63,-2.1
253,176,-254,-1.4431818181818181
254,101,-188,-1.8613861386138615
255,152,-275,-1.8092105263157894
256,153,-249,-1.6274509803921569
257,126,-222,-1.7619047619047619
258,65,-98,-1.5076923076923077
259,117,-204,-1.7435897435897436
260,142,-247,-1.7394366197183098
261,59,-65,-1.1016949152542372
262,121,-190,-1.5702479338842976
263,24,-12,-0.5
264,115,-202,-1.7565217391304349
265,150,-246,-1.64
266,171,-285,-1.6666666666666667
267,45,-60,-1.3333333333333333
268,41,-47,-1.146341463414634
269,17,-32,-1.8823529411764706
270,184,-325,-1.766304347826087
271,158,-245,-1.5506329113924051
272,44,-50,-1.1363636363636365
273,28,-16,-0.5714285714285714
274,110,-215,-1.9545454545454546
275,50,-47,-0.94
276,8,13,1.625
277,106,-184,-1.7358490566037736
278,182,-323,-1.7747252747252746
279,114,-174,-1.5263157894736843
280,40,-46,-1.15
281,225,-420,-1.8666666666666667
282,227,-395,-1.7400881057268722
283,113,-164,-1.4513274336283186
284,129,-225,-1.744186046511628
285,26,-23,-0.8846153846153846
286,162,-267,-1.6481481481481481
287,190,-322,-1.694736842105263
288,89,-140,-1.5730337078651686
289,89,-149,-1.6741573033707866
290,39,-36,-0.9230769230769231
291,184,-253,-1.375
292,38,-35,-0.9210526315789473
293,83,-143,-1.7228915662650603
294,153,-285,-1.8627450980392157
295,211,-370,-1.7535545023696681
296,87,-129,-1.4827586206896552
297,51,-48,-0.9411764705882353
298,18,3,0.16666666666666666
299,100,-196,-1.96
300,30,-18,-0.6
301,106,-184,-1.7358490566037736
302,93,-171,-1.8387096774193548
303,206,-392,-1.9029126213592233
304,13,-1,-0.07692307692307693
305,32,-65,-2.03125
306,164,-305,-1.8597560975609757
307,97,-166,-1.711340206185567
308,35,-32,-0.9142857142857143
309,24,-12,-0.5
310,139,-298,-2.143884892086331
311,176,-317,-1.8011363636363635
312,19,-7,-0.3684210526315789
