episode,steps,return,average_reward_per_step
1,425,-1142,-2.6870588235294117
2,1071,-2148,-2.0056022408963585
3,798,-2127,-2.6654135338345863
4,1194,-2451,-2.0527638190954773
5,538,-1336,-2.483271375464684
6,1240,-2362,-1.9048387096774193
7,819,-2013,-2.457875457875458
8,769,-1108,-1.4408322496749024
9,1541,-2564,-1.663854639844257
10,1231,-2002,-1.626320064987815
11,955,-1726,-1.807329842931937
12,612,-915,-1.4950980392156863
13,625,-982,-1.5712
14,337,-910,-2.7002967359050447
15,647,-1598,-2.469860896445131
16,509,-1055,-2.072691552062868
17,551,-908,-1.6479128856624319
18,750,-1332,-1.776
19,1044,-1734,-1.660919540229885
20,291,-486,-1.6701030927835052
21,971,-1481,-1.525231719876416
22,138,-216,-1.565217391304348
23,475,-760,-1.6
24,357,-606,-1.6974789915966386
25,624,-1134,-1.8173076923076923
26,86,-92,-1.069767441860465
27,231,-363,-1.5714285714285714
28,376,-508,-1.351063829787234
29,731,-1223,-1.6730506155950753
30,583,-1057,-1.8130360205831904
31,1396,-2311,-1.6554441260744985
32,126,-231,-1.8333333333333333
33,380,-602,-1.5842105263157895
34,465,-849,-1.8258064516129033
35,567,-861,-1.5185185185185186
36,244,-367,-1.5040983606557377
37,567,-870,-1.5343915343915344
38,217,-322,-1.4838709677419355
39,553,-847,-1.5316455696202531
40,244,-376,-1.540983606557377
41,148,-217,-1.4662162162162162
42,464,-758,-1.6336206896551724
43,443,-764,-1.724604966139955
44,571,-964,-1.6882661996497372
45,283,-460,-1.6254416961130742
46,260,-455,-1.75
47,344,-593,-1.7238372093023255
48,511,-832,-1.6281800391389432
49,594,-852,-1.4343434343434343
50,405,-582,-1.4370370370370371
51,280,-385,-1.375
52,516,-909,-1.7616279069767442
53,382,-586,-1.5340314136125655
54,325,-511,-1.5723076923076924
55,383,-695,-1.814621409921671
56,178,-256,-1.4382022471910112
57,189,-258,-1.3650793650793651
58,168,-237,-1.4107142857142858
59,194,-317,-1.634020618556701
60,147,-279,-1.8979591836734695
61,221,-308,-1.3936651583710407
62,439,-733,-1.6697038724373576
63,353,-539,-1.5269121813031161
64,310,-415,-1.3387096774193548
65,638,-1004,-1.573667711598746
66,345,-576,-1.6695652173913043
67,309,-504,-1.6310679611650485
68,156,-234,-1.5
69,36,-24,-0.6666666666666666
70,553,-973,-1.759493670886076
71,147,-216,-1.469387755102041
72,223,-301,-1.3497757847533631
73,265,-406,-1.5320754716981133
74,153,-231,-1.5098039215686274
75,61,-76,-1.2459016393442623
76,562,-856,-1.5231316725978647
77,155,-206,-1.3290322580645162
78,130,-163,-1.2538461538461538
79,125,-212,-1.696
80,139,-271,-1.9496402877697843
81,312,-552,-1.7692307692307692
82,314,-446,-1.4203821656050954
83,189,-303,-1.6031746031746033
84,240,-408,-1.7
85,39,-54,-1.3846153846153846
86,483,-795,-1.6459627329192548
87,220,-352,-1.6
88,181,-250,-1.3812154696132597
89,156,-225,-1.4423076923076923
90,491,-767,-1.5621181262729125
91,332,-554,-1.6686746987951808
92,501,-750,-1.4970059880239521
93,129,-153,-1.186046511627907
94,57,-63,-1.105263157894737
95,198,-339,-1.7121212121212122
96,80,-77,-0.9625
97,77,-101,-1.3116883116883118
98,140,-200,-1.4285714285714286
99,134,-230,-1.7164179104477613
100,236,-359,-1.521186440677966
101,149,-236,-1.5838926174496644
102,171,-177,-1.0350877192982457
103,339,-516,-1.5221238938053097
104,123,-147,-1.1951219512195121
105,65,-71,-1.0923076923076922
106,208,-367,-1.7644230769230769
107,519,-831,-1.6011560693641618
108,90,-195,-2.1666666666666665
109,41,-38,-0.926829268292683
110,167,-191,-1.1437125748502994
111,66,-90,-1.3636363636363635
112,290,-395,-1.3620689655172413
113,36,-24,-0.6666666666666666
114,369,-537,-1.4552845528455285
115,213,-336,-1.5774647887323943
116,100,-142,-1.42
117,142,-193,-1.3591549295774648
118,130,-181,-1.3923076923076922
119,53,-50,-0.9433962264150944
120,361,-637,-1.7645429362880887
121,152,-194,-1.2763157894736843
122,29,-17,-0.5862068965517241
123,323,-527,-1.631578947368421
124,292,-415,-1.4212328767123288
125,251,-356,-1.4183266932270917
