episode,steps,return,average_reward_per_step
1,718,-1768,-2.4623955431754876
2,720,-1716,-2.3833333333333333
3,951,-1821,-1.914826498422713
4,847,-1114,-1.3152302243211333
5,514,-1249,-2.4299610894941632
6,367,-436,-1.1880108991825613
7,1203,-2226,-1.8503740648379052
8,554,-1307,-2.3592057761732854
9,1081,-2284,-2.112858464384829
10,300,-360,-1.2
11,406,-547,-1.3472906403940887
12,714,-882,-1.2352941176470589
13,433,-466,-1.0762124711316396
14,259,-535,-2.0656370656370657
15,305,-860,-2.819672131147541
16,289,-367,-1.2698961937716262
17,1683,-2616,-1.554367201426025
18,553,-640,-1.1573236889692586
19,350,-392,-1.12
20,251,-293,-1.1673306772908367
21,683,-869,-1.2723279648609078
22,459,-789,-1.7189542483660132
23,182,-233,-1.2802197802197801
24,253,-457,-1.8063241106719368
25,301,-424,-1.4086378737541527
26,379,-484,-1.2770448548812665
27,394,-526,-1.3350253807106598
28,238,-397,-1.6680672268907564
29,347,-434,-1.2507204610951008
30,295,-382,-1.2949152542372881
31,479,-1007,-2.1022964509394573
32,77,-83,-1.077922077922078
33,181,-277,-1.5303867403314917
34,233,-248,-1.0643776824034334
35,172,-178,-1.0348837209302326
36,106,-121,-1.1415094339622642
37,246,-288,-1.170731707317073
38,168,-228,-1.3571428571428572
39,347,-407,-1.1729106628242074
40,210,-324,-1.542857142857143
41,263,-341,-1.296577946768061
42,207,-312,-1.5072463768115942
43,398,-503,-1.263819095477387
44,439,-634,-1.4441913439635534
45,73,-88,-1.2054794520547945
46,46,-52,-1.1304347826086956
47,485,-752,-1.5505154639175258
48,161,-167,-1.0372670807453417
49,87,-102,-1.1724137931034482
50,575,-896,-1.5582608695652174
51,387,-474,-1.2248062015503876
52,186,-390,-2.096774193548387
53,214,-256,-1.1962616822429906
54,184,-244,-1.326086956521739
55,16,5,0.3125
56,90,-87,-0.9666666666666667
57,507,-864,-1.7041420118343196
58,200,-215,-1.075
59,348,-624,-1.793103448275862
60,157,-145,-0.9235668789808917
61,78,-75,-0.9615384615384616
62,158,-182,-1.1518987341772151
63,240,-372,-1.55
64,164,-179,-1.0914634146341464
65,182,-323,-1.7747252747252746
66,206,-275,-1.3349514563106797
67,59,-83,-1.4067796610169492
68,81,-87,-1.0740740740740742
69,244,-304,-1.2459016393442623
70,272,-323,-1.1875
71,84,-81,-0.9642857142857143
72,182,-206,-1.1318681318681318
73,133,-220,-1.6541353383458646
74,233,-248,-1.0643776824034334
75,124,-148,-1.1935483870967742
76,63,-69,-1.0952380952380953
77,59,-56,-0.9491525423728814
78,319,-379,-1.188087774294671
79,135,-141,-1.0444444444444445
80,144,-267,-1.8541666666666667
81,77,-74,-0.961038961038961
82,116,-131,-1.1293103448275863
83,171,-195,-1.1403508771929824
84,15,6,0.4
85,322,-382,-1.186335403726708
86,186,-183,-0.9838709677419355
87,109,-106,-0.9724770642201835
88,102,-135,-1.3235294117647058
89,128,-170,-1.328125
90,194,-299,-1.541237113402062
91,139,-190,-1.3669064748201438
92,105,-120,-1.1428571428571428
93,97,-76,-0.7835051546391752
94,203,-245,-1.206896551724138
95,88,-94,-1.0681818181818181
96,230,-317,-1.3782608695652174
97,95,-101,-1.063157894736842
98,48,-45,-0.9375
99,188,-185,-0.9840425531914894
100,112,-100,-0.8928571428571429
101,60,-75,-1.25
102,121,-154,-1.2727272727272727
103,179,-230,-1.2849162011173185
104,9,12,1.3333333333333333
